SDGNumber,SDGTitle,TargetsNumber,Targets,IndicatorsNumber,Indicators,UNSDIndicatorCodes,JRCKeywords
1,ยุติความยากจนทุกรูปแบบในทุกที่,1.1,ภายในปี 2573 กำจัดความยากจนอย่างรุนแรงสำหรับทุกคนทุกที่ในปัจจุบันวัดเป็นผู้คนที่อาศัยอยู่ในราคาน้อยกว่า $ 1.25 ต่อวัน,1.1.1,สัดส่วนของประชากรที่อาศัยอยู่ต่ำกว่าเส้นความยากจนระหว่างประเทศตามเพศอายุสถานะการจ้างงานและที่ตั้งทางภูมิศาสตร์ (เมือง/ชนบท),C010101,"['international poverty line', ' extreme poverty', ' abject poverty', ' absolute poverty', 'destitution', 'penury', 'severe deprivation', 'help people suffering from food and material deprivation', 'extremely poor', 'incidence of poverty', 'Households in poverty']"
1,ยุติความยากจนทุกรูปแบบในทุกที่,1.2,ภายในปี 2573 ลดลงอย่างน้อยครึ่งสัดส่วนของผู้ชายผู้หญิงและเด็กทุกวัยที่อาศัยอยู่ในความยากจนในทุกมิติตามคำจำกัดความของชาติ,1.2.1,สัดส่วนของประชากรที่อาศัยอยู่ต่ำกว่าเส้นความยากจนแห่งชาติตามเพศและอายุ,C010201,"['severely materially deprived people', 'low work intensity', 'national poverty line', 'social exclusion', 'income poverty', 'combatting child poverty', 'children out of poverty', 'addressing child poverty', 'at risk of poverty', 'fight child poverty', 'poverty rate', 'living in poverty', 'poor households', 'multidimensional poverty', 'basic needs']"
1,ยุติความยากจนทุกรูปแบบในทุกที่,1.2,ภายในปี 2573 ลดลงอย่างน้อยครึ่งสัดส่วนของผู้ชายผู้หญิงและเด็กทุกวัยที่อาศัยอยู่ในความยากจนในทุกมิติตามคำจำกัดความของชาติ,1.2.2,สัดส่วนของผู้ชายผู้หญิงและเด็กทุกวัยที่อาศัยอยู่ในความยากจนในทุกมิติตามคำจำกัดความระดับชาติ,C010202,"['severely materially deprived people', 'low work intensity', 'national poverty line', 'social exclusion', 'income poverty', 'combatting child poverty', 'children out of poverty', 'addressing child poverty', 'at risk of poverty', 'fight child poverty', 'poverty rate', 'living in poverty', 'poor households', 'multidimensional poverty', 'basic needs']"
1,ยุติความยากจนทุกรูปแบบในทุกที่,1.3,ใช้ระบบการคุ้มครองทางสังคมที่เหมาะสมในระดับประเทศสำหรับทุกคนรวมถึงชั้นและภายในปี 2573 ได้รับความคุ้มครองอย่างมากของคนจนและความเสี่ยง,1.3.1,สัดส่วนของประชากรที่ครอบคลุมโดยพื้น/ระบบการคุ้มครองทางสังคมโดยเพศเด็กที่โดดเด่นผู้ว่างงานผู้สูงอายุบุคคลที่มีความพิการหญิงตั้งครรภ์ทารกแรกเกิดเหยื่อผู้บาดเจ็บและคนจนและคนอ่อนแอ,C010301,"['social risk', 'social protection', 'rights of persons with disabilities', 'rights of unemployed persons', 'rights of older persons', 'rights of pregnant women', 'rights of work-injury victims', 'rights of the poor', 'rights of the vulnerable', 'hiring subsidies', 'social security', 'child benefits', 'maternity benefits', 'support for unemployment', 'support for people without a job', 'benefits for persons with disabilities', 'benefits for victims of work injuries', 'benefits for older persons', 'family benefits', 'maternity protection', 'unemployment support', 'employment injury benefits', 'sickness benefits', 'disability pensions', 'old-age pensions', 'social welfare benefits', 'social spending', 'social services', 'social expenditure']"
1,ยุติความยากจนทุกรูปแบบในทุกที่,1.4,ภายในปี 2573 ตรวจสอบให้แน่ใจว่าชายและหญิงทุกคนโดยเฉพาะคนจนและคนอ่อนแอมีสิทธิ์ที่เท่าเทียมกันในทรัพยากรทางเศรษฐกิจรวมถึงการเข้าถึงบริการขั้นพื้นฐานความเป็นเจ้าของและการควบคุมที่ดินและทรัพย์สินรูปแบบอื่น ๆ มรดกทรัพยากรธรรมชาติที่เหมาะสมเทคโนโลยีใหม่และบริการทางการเงินรวมถึงไมโครไฟแนนซ์,1.4.1,สัดส่วนของประชากรที่อาศัยอยู่ในครัวเรือนที่มีการเข้าถึงบริการขั้นพื้นฐาน,C010401,"['tenure rights', 'equal rights to economic resources', 'control over land', 'access to inheritance', 'rights to land', '\naccess to property', 'access to natural resources', 'access to new technology', 'access to financial services', 'access to microfinance', 'access to services', 'property rights', 'access to basic goods', 'basic goods for all', 'access to basic services', 'delivery of essential services', 'provide essential basic services', 'land tenancy right']"
1,ยุติความยากจนทุกรูปแบบในทุกที่,1.4,ภายในปี 2573 ตรวจสอบให้แน่ใจว่าชายและหญิงทุกคนโดยเฉพาะคนจนและคนอ่อนแอมีสิทธิ์ที่เท่าเทียมกันในทรัพยากรทางเศรษฐกิจรวมถึงการเข้าถึงบริการขั้นพื้นฐานความเป็นเจ้าของและการควบคุมที่ดินและทรัพย์สินรูปแบบอื่น ๆ มรดกทรัพยากรธรรมชาติที่เหมาะสมเทคโนโลยีใหม่และบริการทางการเงินรวมถึงไมโครไฟแนนซ์,1.4.2,สัดส่วนของประชากรผู้ใหญ่ทั้งหมดที่มีสิทธิในการครอบครองที่ดิน (a) ด้วยเอกสารที่ได้รับการยอมรับตามกฎหมายและ (b) ผู้ที่รับรู้ถึงสิทธิของพวกเขาในการลงจอดอย่างปลอดภัยตามเพศและประเภทของการครอบครอง,C010402,"['tenure rights', 'equal rights to economic resources', 'control over land', 'access to inheritance', 'rights to land', '\naccess to property', 'access to natural resources', 'access to new technology', 'access to financial services', 'access to microfinance', 'access to services', 'property rights', 'access to basic goods', 'basic goods for all', 'access to basic services', 'delivery of essential services', 'provide essential basic services', 'land tenancy right']"
1,ยุติความยากจนทุกรูปแบบในทุกที่,1.5,ภายในปี 2573 สร้างความยืดหยุ่นของคนจนและผู้ที่อยู่ในสถานการณ์ที่อ่อนแอและลดการสัมผัสและความอ่อนแอของพวกเขาต่อเหตุการณ์ที่เกี่ยวข้องกับสภาพภูมิอากาศและแรงกระแทกทางเศรษฐกิจสังคมและสิ่งแวดล้อมอื่น ๆ,1.5.1,"จำนวนผู้เสียชีวิตผู้ที่หายไปและผู้ที่ได้รับผลกระทบโดยตรงจากภัยพิบัติต่อประชากร 100,000 คน",C200303,"['disaster risk reduction', 'vulnerability in disaster', 'affected by extreme events', 'resilience of the poor', 'reduce vulnerability', 'resilience to disaster', 'disaster resilience', 'vulnerable people', 'protect livelihoods', 'build resilience to future shocks', 'build resilience to shocks', 'vulnerability to climate event', 'vulnerability to climate extreme event', 'vulnerability to economic shock', 'vulnerability to natural disaster', 'resilience to catastrophic events', 'vulnerability to catastrophic events', 'economic loss attributed to disasters', 'economic loss due to disasters', 'strengthen economic resilience', 'strengthen social resilience', 'preventing disaster risk', 'vulnerable groups', 'vulnerable social groups', ' vulnerable to external shocks', 'vulnerable individuals', 'vulnerable sections of the population', 'vulnerable population', 'vulnerable communities', 'resilience within communities', 'weakest population', 'vulnerability to earthquakes', 'resilience to earthquakes', 'earthquake risk', 'earthquakes resilience', 'plagues risk reduction', 'vulnerability to plagues', 'resilience to plagues', 'plagues resilience', 'preventing plagues risk', 'sandstorms risk reduction', 'vulnerability to sandstorms', 'resilience to sandstorms', 'sandstorms resilience', 'preventing sandstorms risk', 'vulnerability to extreme climate event']"
1,ยุติความยากจนทุกรูปแบบในทุกที่,1.5,ภายในปี 2573 สร้างความยืดหยุ่นของคนจนและผู้ที่อยู่ในสถานการณ์ที่อ่อนแอและลดการสัมผัสและความอ่อนแอของพวกเขาต่อเหตุการณ์ที่เกี่ยวข้องกับสภาพภูมิอากาศและแรงกระแทกทางเศรษฐกิจสังคมและสิ่งแวดล้อมอื่น ๆ,1.5.2,การสูญเสียทางเศรษฐกิจโดยตรงจากภัยพิบัติที่เกี่ยวข้องกับผลิตภัณฑ์มวลรวมภายในประเทศทั่วโลก (GDP),C200211,"['disaster risk reduction', 'vulnerability in disaster', 'affected by extreme events', 'resilience of the poor', 'reduce vulnerability', 'resilience to disaster', 'disaster resilience', 'vulnerable people', 'protect livelihoods', 'build resilience to future shocks', 'build resilience to shocks', 'vulnerability to climate event', 'vulnerability to climate extreme event', 'vulnerability to economic shock', 'vulnerability to natural disaster', 'resilience to catastrophic events', 'vulnerability to catastrophic events', 'economic loss attributed to disasters', 'economic loss due to disasters', 'strengthen economic resilience', 'strengthen social resilience', 'preventing disaster risk', 'vulnerable groups', 'vulnerable social groups', ' vulnerable to external shocks', 'vulnerable individuals', 'vulnerable sections of the population', 'vulnerable population', 'vulnerable communities', 'resilience within communities', 'weakest population', 'vulnerability to earthquakes', 'resilience to earthquakes', 'earthquake risk', 'earthquakes resilience', 'plagues risk reduction', 'vulnerability to plagues', 'resilience to plagues', 'plagues resilience', 'preventing plagues risk', 'sandstorms risk reduction', 'vulnerability to sandstorms', 'resilience to sandstorms', 'sandstorms resilience', 'preventing sandstorms risk', 'vulnerability to extreme climate event']"
1,ยุติความยากจนทุกรูปแบบในทุกที่,1.5,ภายในปี 2573 สร้างความยืดหยุ่นของคนจนและผู้ที่อยู่ในสถานการณ์ที่อ่อนแอและลดการสัมผัสและความอ่อนแอของพวกเขาต่อเหตุการณ์ที่เกี่ยวข้องกับสภาพภูมิอากาศและแรงกระแทกทางเศรษฐกิจสังคมและสิ่งแวดล้อมอื่น ๆ,1.5.3,จำนวนประเทศที่นำมาใช้และดำเนินกลยุทธ์การลดความเสี่ยงจากภัยพิบัติแห่งชาติให้สอดคล้องกับกรอบ Sendai สำหรับการลดความเสี่ยงจากภัยพิบัติในปี 2558-2553,C200304,"['disaster risk reduction', 'vulnerability in disaster', 'affected by extreme events', 'resilience of the poor', 'reduce vulnerability', 'resilience to disaster', 'disaster resilience', 'vulnerable people', 'protect livelihoods', 'build resilience to future shocks', 'build resilience to shocks', 'vulnerability to climate event', 'vulnerability to climate extreme event', 'vulnerability to economic shock', 'vulnerability to natural disaster', 'resilience to catastrophic events', 'vulnerability to catastrophic events', 'economic loss attributed to disasters', 'economic loss due to disasters', 'strengthen economic resilience', 'strengthen social resilience', 'preventing disaster risk', 'vulnerable groups', 'vulnerable social groups', ' vulnerable to external shocks', 'vulnerable individuals', 'vulnerable sections of the population', 'vulnerable population', 'vulnerable communities', 'resilience within communities', 'weakest population', 'vulnerability to earthquakes', 'resilience to earthquakes', 'earthquake risk', 'earthquakes resilience', 'plagues risk reduction', 'vulnerability to plagues', 'resilience to plagues', 'plagues resilience', 'preventing plagues risk', 'sandstorms risk reduction', 'vulnerability to sandstorms', 'resilience to sandstorms', 'sandstorms resilience', 'preventing sandstorms risk', 'vulnerability to extreme climate event']"
1,ยุติความยากจนทุกรูปแบบในทุกที่,1.5,ภายในปี 2573 สร้างความยืดหยุ่นของคนจนและผู้ที่อยู่ในสถานการณ์ที่อ่อนแอและลดการสัมผัสและความอ่อนแอของพวกเขาต่อเหตุการณ์ที่เกี่ยวข้องกับสภาพภูมิอากาศและแรงกระแทกทางเศรษฐกิจสังคมและสิ่งแวดล้อมอื่น ๆ,1.5.4,สัดส่วนของรัฐบาลท้องถิ่นที่นำมาใช้และดำเนินกลยุทธ์การลดความเสี่ยงจากภัยพิบัติในท้องถิ่นให้สอดคล้องกับกลยุทธ์การลดความเสี่ยงจากภัยพิบัติแห่งชาติ,C200305,"['disaster risk reduction', 'vulnerability in disaster', 'affected by extreme events', 'resilience of the poor', 'reduce vulnerability', 'resilience to disaster', 'disaster resilience', 'vulnerable people', 'protect livelihoods', 'build resilience to future shocks', 'build resilience to shocks', 'vulnerability to climate event', 'vulnerability to climate extreme event', 'vulnerability to economic shock', 'vulnerability to natural disaster', 'resilience to catastrophic events', 'vulnerability to catastrophic events', 'economic loss attributed to disasters', 'economic loss due to disasters', 'strengthen economic resilience', 'strengthen social resilience', 'preventing disaster risk', 'vulnerable groups', 'vulnerable social groups', ' vulnerable to external shocks', 'vulnerable individuals', 'vulnerable sections of the population', 'vulnerable population', 'vulnerable communities', 'resilience within communities', 'weakest population', 'vulnerability to earthquakes', 'resilience to earthquakes', 'earthquake risk', 'earthquakes resilience', 'plagues risk reduction', 'vulnerability to plagues', 'resilience to plagues', 'plagues resilience', 'preventing plagues risk', 'sandstorms risk reduction', 'vulnerability to sandstorms', 'resilience to sandstorms', 'sandstorms resilience', 'preventing sandstorms risk', 'vulnerability to extreme climate event']"
