SDGNumber,SDGTitle,TargetsNumber,Targets,IndicatorsNumber,Indicators,UNSDIndicatorCodes,JRCKeywords
1,ยุติความยากจนทุกรูปแบบในทุกที่,1.1,ภายในปี 2573 กำจัดความยากจนอย่างรุนแรงสำหรับทุกคนทุกที่ในปัจจุบันวัดเป็นผู้คนที่อาศัยอยู่ในราคาน้อยกว่า $ 1.25 ต่อวัน,1.1.1,สัดส่วนของประชากรที่อาศัยอยู่ต่ำกว่าเส้นความยากจนระหว่างประเทศตามเพศอายุสถานะการจ้างงานและที่ตั้งทางภูมิศาสตร์ (เมือง/ชนบท),C010101,"['International Poverty Line', 'ความยากจนสุดขีด', 'ความยากจนที่น่ารังเกียจ', 'ความยากจนที่สมบูรณ์', 'ความยากจน', 'Penury', 'การลิดรอนอย่างรุนแรง', 'ช่วยคนที่ทุกข์ทรมานจากอาหารและการลิดรอนวัสดุ', 'ยากจนมาก', 'อุบัติการณ์ของความยากจน', 'ครัวเรือนในความยากจน']"
1,ยุติความยากจนทุกรูปแบบในทุกที่,1.2,ภายในปี 2573 ลดลงอย่างน้อยครึ่งสัดส่วนของผู้ชายผู้หญิงและเด็กทุกวัยที่อาศัยอยู่ในความยากจนในทุกมิติตามคำจำกัดความของชาติ,1.2.1,สัดส่วนของประชากรที่อาศัยอยู่ต่ำกว่าเส้นความยากจนแห่งชาติตามเพศและอายุ,C010201,"['คนที่ถูกลิดรอนอย่างมีนัยสำคัญอย่างรุนแรง', 'ความรุนแรงในการทำงานต่ำ', 'เส้นความยากจนแห่งชาติ', 'การแยกทางสังคม', 'ความยากจนรายได้', 'การต่อสู้กับความยากจนของเด็ก', 'เด็ก ๆ จากความยากจน', 'การจัดการกับความยากจนของเด็ก', 'เสี่ยงต่อความยากจน ',' ต่อสู้กับเด็กยากจน ',' อัตราความยากจน ',' การใช้ชีวิตในความยากจน ',' ครัวเรือนที่ยากจน ',' ความยากจนหลายมิติ ',' ความต้องการพื้นฐาน ']"
1,ยุติความยากจนทุกรูปแบบในทุกที่,1.2,ภายในปี 2573 ลดลงอย่างน้อยครึ่งสัดส่วนของผู้ชายผู้หญิงและเด็กทุกวัยที่อาศัยอยู่ในความยากจนในทุกมิติตามคำจำกัดความของชาติ,1.2.2,สัดส่วนของผู้ชายผู้หญิงและเด็กทุกวัยที่อาศัยอยู่ในความยากจนในทุกมิติตามคำจำกัดความระดับชาติ,C010202,"['คนที่ถูกลิดรอนอย่างมีนัยสำคัญอย่างรุนแรง', 'ความรุนแรงในการทำงานต่ำ', 'เส้นความยากจนแห่งชาติ', 'การแยกทางสังคม', 'ความยากจนรายได้', 'การต่อสู้กับความยากจนของเด็ก', 'เด็ก ๆ จากความยากจน', 'การจัดการกับความยากจนของเด็ก', 'เสี่ยงต่อความยากจน ',' ต่อสู้กับเด็กยากจน ',' อัตราความยากจน ',' การใช้ชีวิตในความยากจน ',' ครัวเรือนที่ยากจน ',' ความยากจนหลายมิติ ',' ความต้องการพื้นฐาน ']"
1,ยุติความยากจนทุกรูปแบบในทุกที่,1.3,ใช้ระบบการคุ้มครองทางสังคมที่เหมาะสมในระดับประเทศสำหรับทุกคนรวมถึงชั้นและภายในปี 2573 ได้รับความคุ้มครองอย่างมากของคนจนและความเสี่ยง,1.3.1,สัดส่วนของประชากรที่ครอบคลุมโดยพื้น/ระบบการคุ้มครองทางสังคมโดยเพศเด็กที่โดดเด่นผู้ว่างงานผู้สูงอายุบุคคลที่มีความพิการหญิงตั้งครรภ์ทารกแรกเกิดเหยื่อผู้บาดเจ็บและคนจนและคนอ่อนแอ,C010301,"['ความเสี่ยงทางสังคม', 'การคุ้มครองทางสังคม', 'สิทธิของบุคคลที่มีความพิการ', 'สิทธิของผู้ว่างงาน', 'สิทธิของผู้สูงอายุ', 'สิทธิของหญิงตั้งครรภ์', 'สิทธิของผู้ที่ตกเป็นเหยื่อการทำงานบาดเจ็บ', ','สิทธิของคนจน ',' สิทธิของผู้ที่อ่อนแอ ',' การจ้างเงินอุดหนุน ',' ประกันสังคม ',' ผลประโยชน์เด็ก ',' ผลประโยชน์การคลอดบุตร ',' การสนับสนุนการว่างงาน ',' การสนับสนุนสำหรับผู้ที่ไม่มีงาน ',' ผลประโยชน์ ','สำหรับผู้พิการ ',' ผลประโยชน์สำหรับผู้ที่ตกเป็นเหยื่อของการบาดเจ็บจากการทำงาน ',' ผลประโยชน์สำหรับผู้สูงอายุ ',' ผลประโยชน์ครอบครัว ',' การคุ้มครองการคลอดบุตร ',' การสนับสนุนการว่างงาน ',' ผลประโยชน์การบาดเจ็บจากการจ้างงาน ',' ผลประโยชน์การเจ็บป่วย ',' ความพิการเงินบำนาญ ',' เงินบำนาญวัยชรา ',' ผลประโยชน์สวัสดิการสังคม ',' การใช้จ่ายทางสังคม ',' บริการสังคม ',' ค่าใช้จ่ายทางสังคม ']"
1,ยุติความยากจนทุกรูปแบบในทุกที่,1.4,ภายในปี 2573 ตรวจสอบให้แน่ใจว่าชายและหญิงทุกคนโดยเฉพาะคนจนและคนอ่อนแอมีสิทธิ์ที่เท่าเทียมกันในทรัพยากรทางเศรษฐกิจรวมถึงการเข้าถึงบริการขั้นพื้นฐานความเป็นเจ้าของและการควบคุมที่ดินและทรัพย์สินรูปแบบอื่น ๆ มรดกทรัพยากรธรรมชาติที่เหมาะสมเทคโนโลยีใหม่และบริการทางการเงินรวมถึงไมโครไฟแนนซ์,1.4.1,สัดส่วนของประชากรที่อาศัยอยู่ในครัวเรือนที่มีการเข้าถึงบริการขั้นพื้นฐาน,C010401,"['การครอบครองสิทธิ์', 'สิทธิที่เท่าเทียมกับทรัพยากรทางเศรษฐกิจ', 'ควบคุมที่ดิน', 'การเข้าถึงการสืบทอด', 'Rights to Land', '\ naccess to Property', 'การเข้าถึงทรัพยากรธรรมชาติ', 'การเข้าถึงใหม่เทคโนโลยี ',' การเข้าถึงบริการทางการเงิน ',' การเข้าถึงไมโครไฟแนนซ์ ',' การเข้าถึงบริการ ',' สิทธิ์ในทรัพย์สิน ',' การเข้าถึงสินค้าพื้นฐาน ',' สินค้าพื้นฐานสำหรับทุกคน ',' การเข้าถึงบริการพื้นฐาน ',' การจัดส่งของบริการที่จำเป็น ',' ให้บริการพื้นฐานที่จำเป็น ',' Land Tenancy Right ']"
1,ยุติความยากจนทุกรูปแบบในทุกที่,1.4,ภายในปี 2573 ตรวจสอบให้แน่ใจว่าชายและหญิงทุกคนโดยเฉพาะคนจนและคนอ่อนแอมีสิทธิ์ที่เท่าเทียมกันในทรัพยากรทางเศรษฐกิจรวมถึงการเข้าถึงบริการขั้นพื้นฐานความเป็นเจ้าของและการควบคุมที่ดินและทรัพย์สินรูปแบบอื่น ๆ มรดกทรัพยากรธรรมชาติที่เหมาะสมเทคโนโลยีใหม่และบริการทางการเงินรวมถึงไมโครไฟแนนซ์,1.4.2,สัดส่วนของประชากรผู้ใหญ่ทั้งหมดที่มีสิทธิในการครอบครองที่ดิน (a) ด้วยเอกสารที่ได้รับการยอมรับตามกฎหมายและ (b) ผู้ที่รับรู้ถึงสิทธิของพวกเขาในการลงจอดอย่างปลอดภัยตามเพศและประเภทของการครอบครอง,C010402,"['การครอบครองสิทธิ์', 'สิทธิที่เท่าเทียมกับทรัพยากรทางเศรษฐกิจ', 'ควบคุมที่ดิน', 'การเข้าถึงการสืบทอด', 'Rights to Land', '\ naccess to Property', 'การเข้าถึงทรัพยากรธรรมชาติ', 'การเข้าถึงใหม่เทคโนโลยี ',' การเข้าถึงบริการทางการเงิน ',' การเข้าถึงไมโครไฟแนนซ์ ',' การเข้าถึงบริการ ',' สิทธิ์ในทรัพย์สิน ',' การเข้าถึงสินค้าพื้นฐาน ',' สินค้าพื้นฐานสำหรับทุกคน ',' การเข้าถึงบริการพื้นฐาน ',' การจัดส่งของบริการที่จำเป็น ',' ให้บริการพื้นฐานที่จำเป็น ',' Land Tenancy Right ']"
1,ยุติความยากจนทุกรูปแบบในทุกที่,1.5,ภายในปี 2573 สร้างความยืดหยุ่นของคนจนและผู้ที่อยู่ในสถานการณ์ที่อ่อนแอและลดการสัมผัสและความอ่อนแอของพวกเขาต่อเหตุการณ์ที่เกี่ยวข้องกับสภาพภูมิอากาศและแรงกระแทกทางเศรษฐกิจสังคมและสิ่งแวดล้อมอื่น ๆ,1.5.1,"จำนวนผู้เสียชีวิตผู้ที่หายไปและผู้ที่ได้รับผลกระทบโดยตรงจากภัยพิบัติต่อประชากร 100,000 คน",C200303,"['การลดความเสี่ยงจากภัยพิบัติ', 'ช่องโหว่ในภัยพิบัติ', 'ได้รับผลกระทบจากเหตุการณ์ที่รุนแรง', 'ความยืดหยุ่นของคนจน', 'ลดช่องโหว่', 'ความยืดหยุ่นต่อภัยพิบัติ', 'ความยืดหยุ่นจากภัยพิบัติ', 'คนอ่อนแอ', 'ปกป้อง'การดำรงชีวิต ',' สร้างความยืดหยุ่นต่อการกระแทกในอนาคต ',' สร้างความยืดหยุ่นต่อแรงกระแทก ',' ช่องโหว่ต่อเหตุการณ์สภาพภูมิอากาศ ',' ช่องโหว่ต่อเหตุการณ์ภูมิอากาศที่รุนแรง ',' ช่องโหว่ต่อเศรษฐกิจ ',' ช่องโหว่ต่อภัยพิบัติทางธรรมชาติ 'เหตุการณ์ภัยพิบัติ ',' ความอ่อนแอต่อเหตุการณ์ภัยพิบัติ ',' การสูญเสียทางเศรษฐกิจที่เกิดจากภัยพิบัติ ',' การสูญเสียทางเศรษฐกิจเนื่องจากภัยพิบัติ ',' เสริมสร้างความยืดหยุ่นทางเศรษฐกิจ ',' เสริมสร้างความยืดหยุ่นทางสังคม ',' การป้องกันความเสี่ยงจากภัยพิบัติ ',' กลุ่มที่อ่อนแอ ''กลุ่มสังคมที่อ่อนแอ', 'เสี่ยงต่อแรงกระแทกภายนอก', 'บุคคลที่อ่อนแอ', 'ส่วนที่เปราะบางของประชากร', 'ประชากรที่อ่อนแอ', 'ชุมชนที่อ่อนแอ', 'ความยืดหยุ่นภายในชุมชน', 'ประชากรที่อ่อนแอที่สุด', 'ช่องโหว่แผ่นดินไหว ',' ความยืดหยุ่นต่อการเกิดแผ่นดินไหว ',' ความเสี่ยงจากแผ่นดินไหว ',' ความยืดหยุ่นของแผ่นดินไหว ',' ภัยพิบัติลดความเสี่ยง ',' ความอ่อนแอต่อภัยพิบัติ ',' ความยืดหยุ่นต่อภัยพิบัติ ',' โรคระบาดที่มีความยืดหยุ่น 'การลดความเสี่ยง ',' ช่องโหว่ต่อพายุทราย ',' ความยืดหยุ่นต่อพายุทราย ',' ความยืดหยุ่นของพายุทราย ',' ป้องกันความเสี่ยงจากพายุทราย ',' ความอ่อนแอต่อเหตุการณ์สภาพภูมิอากาศที่รุนแรง ']"
1,ยุติความยากจนทุกรูปแบบในทุกที่,1.5,ภายในปี 2573 สร้างความยืดหยุ่นของคนจนและผู้ที่อยู่ในสถานการณ์ที่อ่อนแอและลดการสัมผัสและความอ่อนแอของพวกเขาต่อเหตุการณ์ที่เกี่ยวข้องกับสภาพภูมิอากาศและแรงกระแทกทางเศรษฐกิจสังคมและสิ่งแวดล้อมอื่น ๆ,1.5.2,การสูญเสียทางเศรษฐกิจโดยตรงจากภัยพิบัติที่เกี่ยวข้องกับผลิตภัณฑ์มวลรวมภายในประเทศทั่วโลก (GDP),C200211,"['การลดความเสี่ยงจากภัยพิบัติ', 'ช่องโหว่ในภัยพิบัติ', 'ได้รับผลกระทบจากเหตุการณ์ที่รุนแรง', 'ความยืดหยุ่นของคนจน', 'ลดช่องโหว่', 'ความยืดหยุ่นต่อภัยพิบัติ', 'ความยืดหยุ่นจากภัยพิบัติ', 'คนอ่อนแอ', 'ปกป้อง'การดำรงชีวิต ',' สร้างความยืดหยุ่นต่อการกระแทกในอนาคต ',' สร้างความยืดหยุ่นต่อแรงกระแทก ',' ช่องโหว่ต่อเหตุการณ์สภาพภูมิอากาศ ',' ช่องโหว่ต่อเหตุการณ์ภูมิอากาศที่รุนแรง ',' ช่องโหว่ต่อเศรษฐกิจ ',' ช่องโหว่ต่อภัยพิบัติทางธรรมชาติ 'เหตุการณ์ภัยพิบัติ ',' ความอ่อนแอต่อเหตุการณ์ภัยพิบัติ ',' การสูญเสียทางเศรษฐกิจที่เกิดจากภัยพิบัติ ',' การสูญเสียทางเศรษฐกิจเนื่องจากภัยพิบัติ ',' เสริมสร้างความยืดหยุ่นทางเศรษฐกิจ ',' เสริมสร้างความยืดหยุ่นทางสังคม ',' การป้องกันความเสี่ยงจากภัยพิบัติ ',' กลุ่มที่อ่อนแอ ''กลุ่มสังคมที่อ่อนแอ', 'เสี่ยงต่อแรงกระแทกภายนอก', 'บุคคลที่อ่อนแอ', 'ส่วนที่เปราะบางของประชากร', 'ประชากรที่อ่อนแอ', 'ชุมชนที่อ่อนแอ', 'ความยืดหยุ่นภายในชุมชน', 'ประชากรที่อ่อนแอที่สุด', 'ช่องโหว่แผ่นดินไหว ',' ความยืดหยุ่นต่อการเกิดแผ่นดินไหว ',' ความเสี่ยงจากแผ่นดินไหว ',' ความยืดหยุ่นของแผ่นดินไหว ',' ภัยพิบัติลดความเสี่ยง ',' ความอ่อนแอต่อภัยพิบัติ ',' ความยืดหยุ่นต่อภัยพิบัติ ',' โรคระบาดที่มีความยืดหยุ่น 'การลดความเสี่ยง ',' ช่องโหว่ต่อพายุทราย ',' ความยืดหยุ่นต่อพายุทราย ',' ความยืดหยุ่นของพายุทราย ',' ป้องกันความเสี่ยงจากพายุทราย ',' ความอ่อนแอต่อเหตุการณ์สภาพภูมิอากาศที่รุนแรง ']"
1,ยุติความยากจนทุกรูปแบบในทุกที่,1.5,ภายในปี 2573 สร้างความยืดหยุ่นของคนจนและผู้ที่อยู่ในสถานการณ์ที่อ่อนแอและลดการสัมผัสและความอ่อนแอของพวกเขาต่อเหตุการณ์ที่เกี่ยวข้องกับสภาพภูมิอากาศและแรงกระแทกทางเศรษฐกิจสังคมและสิ่งแวดล้อมอื่น ๆ,1.5.3,จำนวนประเทศที่นำมาใช้และดำเนินกลยุทธ์การลดความเสี่ยงจากภัยพิบัติแห่งชาติให้สอดคล้องกับกรอบ Sendai สำหรับการลดความเสี่ยงจากภัยพิบัติในปี 2558-2553,C200304,"['การลดความเสี่ยงจากภัยพิบัติ', 'ช่องโหว่ในภัยพิบัติ', 'ได้รับผลกระทบจากเหตุการณ์ที่รุนแรง', 'ความยืดหยุ่นของคนจน', 'ลดช่องโหว่', 'ความยืดหยุ่นต่อภัยพิบัติ', 'ความยืดหยุ่นจากภัยพิบัติ', 'คนอ่อนแอ', 'ปกป้อง'การดำรงชีวิต ',' สร้างความยืดหยุ่นต่อการกระแทกในอนาคต ',' สร้างความยืดหยุ่นต่อแรงกระแทก ',' ช่องโหว่ต่อเหตุการณ์สภาพภูมิอากาศ ',' ช่องโหว่ต่อเหตุการณ์ภูมิอากาศที่รุนแรง ',' ช่องโหว่ต่อเศรษฐกิจ ',' ช่องโหว่ต่อภัยพิบัติทางธรรมชาติ 'เหตุการณ์ภัยพิบัติ ',' ความอ่อนแอต่อเหตุการณ์ภัยพิบัติ ',' การสูญเสียทางเศรษฐกิจที่เกิดจากภัยพิบัติ ',' การสูญเสียทางเศรษฐกิจเนื่องจากภัยพิบัติ ',' เสริมสร้างความยืดหยุ่นทางเศรษฐกิจ ',' เสริมสร้างความยืดหยุ่นทางสังคม ',' การป้องกันความเสี่ยงจากภัยพิบัติ ',' กลุ่มที่อ่อนแอ ''กลุ่มสังคมที่อ่อนแอ', 'เสี่ยงต่อแรงกระแทกภายนอก', 'บุคคลที่อ่อนแอ', 'ส่วนที่เปราะบางของประชากร', 'ประชากรที่อ่อนแอ', 'ชุมชนที่อ่อนแอ', 'ความยืดหยุ่นภายในชุมชน', 'ประชากรที่อ่อนแอที่สุด', 'ช่องโหว่แผ่นดินไหว ',' ความยืดหยุ่นต่อการเกิดแผ่นดินไหว ',' ความเสี่ยงจากแผ่นดินไหว ',' ความยืดหยุ่นของแผ่นดินไหว ',' ภัยพิบัติลดความเสี่ยง ',' ความอ่อนแอต่อภัยพิบัติ ',' ความยืดหยุ่นต่อภัยพิบัติ ',' โรคระบาดที่มีความยืดหยุ่น 'การลดความเสี่ยง ',' ช่องโหว่ต่อพายุทราย ',' ความยืดหยุ่นต่อพายุทราย ',' ความยืดหยุ่นของพายุทราย ',' ป้องกันความเสี่ยงจากพายุทราย ',' ความอ่อนแอต่อเหตุการณ์สภาพภูมิอากาศที่รุนแรง ']"
1,ยุติความยากจนทุกรูปแบบในทุกที่,1.5,ภายในปี 2573 สร้างความยืดหยุ่นของคนจนและผู้ที่อยู่ในสถานการณ์ที่อ่อนแอและลดการสัมผัสและความอ่อนแอของพวกเขาต่อเหตุการณ์ที่เกี่ยวข้องกับสภาพภูมิอากาศและแรงกระแทกทางเศรษฐกิจสังคมและสิ่งแวดล้อมอื่น ๆ,1.5.4,สัดส่วนของรัฐบาลท้องถิ่นที่นำมาใช้และดำเนินกลยุทธ์การลดความเสี่ยงจากภัยพิบัติในท้องถิ่นให้สอดคล้องกับกลยุทธ์การลดความเสี่ยงจากภัยพิบัติแห่งชาติ,C200305,"['การลดความเสี่ยงจากภัยพิบัติ', 'ช่องโหว่ในภัยพิบัติ', 'ได้รับผลกระทบจากเหตุการณ์ที่รุนแรง', 'ความยืดหยุ่นของคนจน', 'ลดช่องโหว่', 'ความยืดหยุ่นต่อภัยพิบัติ', 'ความยืดหยุ่นจากภัยพิบัติ', 'คนอ่อนแอ', 'ปกป้อง'การดำรงชีวิต ',' สร้างความยืดหยุ่นต่อการกระแทกในอนาคต ',' สร้างความยืดหยุ่นต่อแรงกระแทก ',' ช่องโหว่ต่อเหตุการณ์สภาพภูมิอากาศ ',' ช่องโหว่ต่อเหตุการณ์ภูมิอากาศที่รุนแรง ',' ช่องโหว่ต่อเศรษฐกิจ ',' ช่องโหว่ต่อภัยพิบัติทางธรรมชาติ 'เหตุการณ์ภัยพิบัติ ',' ความอ่อนแอต่อเหตุการณ์ภัยพิบัติ ',' การสูญเสียทางเศรษฐกิจที่เกิดจากภัยพิบัติ ',' การสูญเสียทางเศรษฐกิจเนื่องจากภัยพิบัติ ',' เสริมสร้างความยืดหยุ่นทางเศรษฐกิจ ',' เสริมสร้างความยืดหยุ่นทางสังคม ',' การป้องกันความเสี่ยงจากภัยพิบัติ ',' กลุ่มที่อ่อนแอ ''กลุ่มสังคมที่อ่อนแอ', 'เสี่ยงต่อแรงกระแทกภายนอก', 'บุคคลที่อ่อนแอ', 'ส่วนที่เปราะบางของประชากร', 'ประชากรที่อ่อนแอ', 'ชุมชนที่อ่อนแอ', 'ความยืดหยุ่นภายในชุมชน', 'ประชากรที่อ่อนแอที่สุด', 'ช่องโหว่แผ่นดินไหว ',' ความยืดหยุ่นต่อการเกิดแผ่นดินไหว ',' ความเสี่ยงจากแผ่นดินไหว ',' ความยืดหยุ่นของแผ่นดินไหว ',' ภัยพิบัติลดความเสี่ยง ',' ความอ่อนแอต่อภัยพิบัติ ',' ความยืดหยุ่นต่อภัยพิบัติ ',' โรคระบาดที่มีความยืดหยุ่น 'การลดความเสี่ยง ',' ช่องโหว่ต่อพายุทราย ',' ความยืดหยุ่นต่อพายุทราย ',' ความยืดหยุ่นของพายุทราย ',' ป้องกันความเสี่ยงจากพายุทราย ',' ความอ่อนแอต่อเหตุการณ์สภาพภูมิอากาศที่รุนแรง ']"
